"Object property name (compact URI)","Label in English (rdfs:label [en])","Label in French (rdfs:label [fr])","Label in Spanish (rdfs:label [es])","Description (rdfs:comment)","Scope note (skos:scopeNote)","Corresponding component in RiC-CM (rico:RiCCMCorrespondingComponent)","Subproperty of (rdfs:subPropertyOf)","Domain (rdfs:domain)","Range (rdsf:range)","Inverse of (owl:inverseOf)","Type (rdf:type)","Property chain axiom (owl:propertyChainAxiom)","Changes since RiC-O 0.2 (skos:changeNote)"
"rico:precedesInTime","precedes in time","précède dans le temps","precede en el tiempo a","Connects a Thing to a Thing that follows it in chronological order. This is a transitive relation.","There may actually be zero to many intermediate Entities, ignored or unknown, in the chronological sequence between the two connected Entities.","RiC-R009 ('precedes in time' relation)","precedesOrPreceded","Thing","Thing","followsInTime","TransitiveProperty","thingIsSourceOfRelation/temporalRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-09-21 : Property made transitive. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new temporalRelation_role object property."
"rico:precedesOrPreceded","precedes or preceded","précède ou a précédé","precede o precedía secuencialmente a","Connects a Thing to a Thing that follows or followed it in some sequence.","The relation does not specify by itself what criteria are used for ordering the sequence. There may actually be zero to many intermediate Entities, ignored or unkown, in the sequence between the two connected Things. Can be used, for example, for specifying that some Record 'precedes' (has next) some Record within a Record Set.","RiC-R008 ('precedes or preceded' relation)","isRelatedTo","Thing","Thing","followsOrFollowed",,"thingIsSourceOfRelation/sequentialRelation_role/relationHasTarget","2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish. | 2023-11-08 : In order to get a system of rolified Relation classes: modified the property chain axiom so that it now involves the new sequentialRelation_role object property."
"rico:proxyFor","proxy for","proxy pour","es proxy para","Connects a Proxy to the Record Resource it stands for in the specific context of a Record Set.",,,"isRelatedTo","Proxy","RecordResource",,,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:proxyIn","proxy in","proxy dans","es proxy en","Connects a Proxy to the Record Set in which it stands for (represents) another Record Resource.",,,"isRelatedTo","Proxy","RecordSet",,,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:recordResourceGeneticRelation_role","has the role of the Record Resource Genetic Relation","a le rôle de la Relation génétique entre des ressources archivistiques","desempeña el papel de la Relación genética entre recursos documentales","Connects a RecordResourceGeneticRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the RecordResourceGeneticRelation class. It should be used only when you have to manage instances of the RecordResourceGeneticRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"recordResourceToRecordResourceRelation_role","RecordResourceGeneticRelation","RecordResourceGeneticRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the RecordResourceGeneticRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
"rico:recordResourceHoldingRelation_role","has the role of the Record Resource Holding Relation","a le rôle de la Relation entre agents et ressources archivistiques ou instanciations conservées","desempeña el papel de la Relación entre agentes y recursos documentales que conservan","Connects a RecordResourceHoldingRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the RecordResourceHoldingRelation class. It should be used only when you have to manage instances of the RecordResourceHoldingRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"managementRelation_role","RecordResourceHoldingRelation","RecordResourceHoldingRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the RecordResourceHoldingRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies). | 2023-12-30 : Fixed a typo in the French label."
"rico:recordResourceToInstantiationRelation_role","has the role of the Record Resource to Instantiation Relation","a le rôle de la Relation d’instanciation","desempeña el papel de la Relación de recurso documental a instanciación","Connects a RecordResourceToInstantiationRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the RecordResourceToInstantiationRelation class. It should be used only when you have to manage instances of the RecordResourceToInstantiationRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"relation_role","RecordResourceToInstantiationRelation","RecordResourceToInstantiationRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the RecordResourceToInstantiationRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
"rico:recordResourceToRecordResourceRelation_role","has the role of the Record Resource to Record Resource Relation","a le rôle de la Relation entre ressources archivistiques","desempeña el papel de la Relación entre recursos documentales","Connects a RecordResourceToRecordResourceRelation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the RecordResourceToRecordResourceRelation class. It should be used only when you have to manage instances of the RecordResourceToRecordResourceRelation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,"relation_role","RecordResourceToRecordResourceRelation","RecordResourceToRecordResourceRelation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the RecordResourceToRecordResourceRelation rolified class. Declared it as reflexive. Declared it(s) superproperty(ies)."
"rico:regulatesOrRegulated","regulates or regulated","régule ou a régulé","regula o regulaba","Connects a Rule to a Thing that it regulates or regulated.",,"RiC-R063 ('regulates or regulated' relation)","isRuleAssociatedWith","Rule","Thing","isOrWasRegulatedBy",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:relationConnects","relation connects","relation connecte","relación conecta","Connects an n-ary Relation to any of the Things involved.",,,"isRelatedTo","Relation","Thing","thingIsConnectedToRelation",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:relationHasContext","relation has context","relation a pour contexte","relación tiene como contexto","Connects an n-ary Relation to a Thing that is a secondary, contextual entity during the existence of the Relation.","The secondary entity may be, for instance, a Position or a Role Type.",,"relationConnects","Relation","Thing","thingIsContextOfRelation",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:relationHasSource","relation has source","relation a pour source","relación tiene como fuente","Connects an n-ary Relation to a Thing that is its source.",,,"relationConnects","Relation","Thing","thingIsSourceOfRelation",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:relationHasTarget","relation has target","relation a pour cible","relación tiene como objetivo","Connects an n-ary Relation to a Thing that is its target.",,,"relationConnects","Relation","Thing","thingIsTargetOfRelation",,,"2023-08-28 : Added a new rdfs:label in French. | 2023-11-02 : Added a new rdfs:label in Spanish."
"rico:relation_role","has the role of the Relation","a le rôle de la Relation","desempeña el papel de la Relación","Connects a Relation to itself. It is a reflexive property, that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph.","This property ""rolifies"" the generic Relation class. It should be used only when you have to manage instances of this Relation class, to connect each instance to itself, in order to be able to infer, using OWL-RL and property paths, the two shortcuts corresponding to this n-ary class.",,,"Relation","Relation",,"ReflexiveProperty",,"2023-11-08 : In order to get a system of rolified Relation classes: created the object property, with domain and range the Relation rolified class. Declared it as reflexive."
